DestinationID,Name,Ruta,Departamento,Categorias
1,Plaza de Bolivar de Pereira,Medellin-Pereira,Risaralda,"urbano,cultural"
2,Parque del Cafe,Medellin-Pereira,Quindio,"familiar,cultural"
3,Termales de Santa Rosa de Cabal,Medellin-Pereira,Risaralda,"naturaleza,romantico"
4,Salento y Valle de Cocora,Medellin-Pereira,Quindio,"naturaleza,cultural,romantico"
5,Filandia pueblo patrimonio,Medellin-Pereira,Quindio,"cultural,romantico,gastronomico"
6,Nevado del Ruiz,Medellin-Manizales,Caldas,"aventura,naturaleza"
7,Recinto del Pensamiento,Medellin-Manizales,Caldas,"naturaleza,familiar"
8,Catedral de Manizales,Medellin-Manizales,Caldas,"cultural,urbano"
9,Hacienda Venecia tour del cafe,Medellin-Manizales,Caldas,"gastronomico,cultural"
10,Centro historico La Candelaria,Medellin-Bogota,Cundinamarca,"cultural,urbano"
11,Cerro de Monserrate,Medellin-Bogota,Cundinamarca,"naturaleza,urbano,cultural"
12,Museo del Oro,Medellin-Bogota,Cundinamarca,"cultural,urbano"
13,Zona T Zona Rosa,Medellin-Bogota,Cundinamarca,"urbano,gastronomico"
14,Usaquen mercado dominical,Medellin-Bogota,Cundinamarca,"urbano,cultural,gastronomico"
15,Catedral de Sal de Zipaquira,Medellin-Bogota,Cundinamarca,"cultural,familiar"
16,Ciudad amurallada de Cartagena,Medellin-Cartagena,Bolivar,"cultural,romantico,urbano"
17,Castillo de San Felipe,Medellin-Cartagena,Bolivar,cultural
18,Playa Blanca Baru,Medellin-Cartagena,Bolivar,"playa,familiar"
19,Islas del Rosario,Medellin-Cartagena,Bolivar,"playa,aventura,naturaleza"
20,Getsemani barrio bohemio,Medellin-Cartagena,Bolivar,"urbano,cultural,gastronomico"
21,Centro historico nocturno Cartagena,Medellin-Cartagena,Bolivar,"urbano,gastronomico,romantico"
22,Centro historico Santa Fe,Medellin-SantaFeAntioquia,Antioquia,"cultural,romantico"
23,Puente de Occidente,Medellin-SantaFeAntioquia,Antioquia,"cultural,familiar"
24,Rio Cauca tubing,Medellin-SantaFeAntioquia,Antioquia,"aventura,familiar,naturaleza"
25,Piedra del Penol,Medellin-Guatape,Antioquia,"aventura,naturaleza"
26,Pueblo de Guatape zocalos,Medellin-Guatape,Antioquia,"cultural,familiar,romantico"
27,Embalse paseo en bote,Medellin-Guatape,Antioquia,"familiar,naturaleza"
28,Replica del Penol viejo,Medellin-Guatape,Antioquia,"cultural,familiar"
29,Comuna 13 graffitis y tour,Medellin-base,Antioquia,"cultural,urbano"
30,Parque Arvi,Medellin-base,Antioquia,"naturaleza,familiar"
